Title,Company,Location,Link
[플러스엑스] 웹개발(PHP/Python/백엔드) 채용 공고,플러스엑스(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37605927&location=ts&searchword=python&searchType=search&paid_fl=n
"웹개발(백엔드, Python, 프론트엔드 외 2개 부문) 채용",(주)닥터링고,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37861447&location=ts&searchword=python&searchType=search&paid_fl=n
IoT/빅데이터 관련 웹 솔루션 개발자(java/python) 모집,(주) 유비벨록스 모바일,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37664614&location=ts&searchword=python&searchType=search&paid_fl=n
[신입/정규] 광고 솔루션 개발 (Python)모집/코딩테스트 있음,(주)니트머스,서울 중구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37686212&location=ts&searchword=python&searchType=search&paid_fl=n
(주)앰진시큐러스 백엔드 개발자 모집(Python / Java / C / C++),앰진시큐러스,서울 송파구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37883495&location=ts&searchword=python&searchType=search&paid_fl=n
웹개발(Java·JSP/Python/프론트엔드 외 1개 부문) 채용,케이에스이씨(주),서울 강서구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37872719&location=ts&searchword=python&searchType=search&paid_fl=n
어플 앱개발자(아이폰/안드로이드) / 웹개발자(PHP/Python) 채용,㈜아띠소프트,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37687417&location=ts&searchword=python&searchType=search&paid_fl=n
[이커머스 스타트업] 고객분석 데이터분석 모집(Python GA),(주)온누리아이코리아,서울 용산구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37678603&location=ts&searchword=python&searchType=search&paid_fl=n
"JAVA,PYTHON 개발자(신업/경력직) 정기 모집",안심생활 협동조합,서울 영등포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37888094&location=ts&searchword=python&searchType=search&paid_fl=n
파이썬 Python 개발자 모집,(주)인섹시큐리티,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37862545&location=ts&searchword=python&searchType=search&paid_fl=n
IoT/빅데이터 웹 솔루션 개발자(java/python) 모집,(주) 유비벨록스 모바일,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37904069&location=ts&searchword=python&searchType=search&paid_fl=n
[정규직] Java/Python Backend/머신러닝(ML) 엔지니어,(주)마인즈앤컴퍼니,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37816011&location=ts&searchword=python&searchType=search&paid_fl=n
AI플랫폼 Python-Django Backend Engineer,"(주)에이젠글로벌(aiZENGlobalCo.,Inc.)",서울 영등포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37814470&location=ts&searchword=python&searchType=search&paid_fl=n
백엔드(Python) 경력 개발자 채용,디케이랩,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37897776&location=ts&searchword=python&searchType=search&paid_fl=n
ICT융합연구소 PHP/Java·JSP/Python 채용 공고(경력직),(주)엔이씨파워,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37804506&location=ts&searchword=python&searchType=search&paid_fl=n
굿닥 Python& PHP 서버 개발자 채용,(주)케어랩스,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37795927&location=ts&searchword=python&searchType=search&paid_fl=n
Python / JAVA / Node.js 백엔드개발 능력자,(주)엔토파즈,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37838473&location=ts&searchword=python&searchType=search&paid_fl=n
"Ajax, Python, PHP 정규직 채용(경력/신입)",주식회사 글로벌뉴소울,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37894213&location=ts&searchword=python&searchType=search&paid_fl=n
[취업연수 국비교육]자바/파이썬/빅데이터/웹/영상/건축,㈜이젠아카데미인재개발원,서울전체,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=36825236&location=ts&searchword=python&searchType=search&paid_fl=n
(전액무료)파이썬&빅데이터 분석(AI)머신러닝 취업연계과정,지스펙(주),서울전체,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37903040&location=ts&searchword=python&searchType=search&paid_fl=n
"데이터사이언스(B2C, B2B공정품질, 파이썬) & B2B잠재고객발굴",(주)이음인터렉티브,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37814241&location=ts&searchword=python&searchType=search&paid_fl=n
부문별 신입/경력 수시채용,(주)티몬,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37684158&location=ts&searchword=python&searchType=search&paid_fl=n
[㈜하미코리아] 2020년 상반기 각 부문 채용,(주)하미코리아,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37866657&location=ts&searchword=python&searchType=search&paid_fl=n
㈜다래파크텍 2020년 상반기 공개채용,(주)다래파크텍,서울 송파구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37910076&location=ts&searchword=python&searchType=search&paid_fl=n
[하나금융TI] 금융IT 경력사원 모집,㈜하나금융티아이,인천전체,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37859946&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 SW개발 신입 LINER 공개채용,라인플러스(주),경기 성남시 분당구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37886859&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 상반기 공개채용,(주)씨이랩,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37898045&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,(주) 해커스어학원,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37508611&location=ts&searchword=python&searchType=search&paid_fl=n
펍지㈜ 각 부문별 수시 채용,펍지(주),서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37846455&location=ts&searchword=python&searchType=search&paid_fl=n
㈜우진산전 재경/EV품질/EV자재관리/국내영업 신입 채용,㈜우진산전,충북 청주시,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37886968&location=ts&searchword=python&searchType=search&paid_fl=n
IT 연구개발 및 DB업무지원 분야 정규직 및 인턴 채용,현대엔지비㈜,서울 성동구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37882145&location=ts&searchword=python&searchType=search&paid_fl=n
2020 상반기 개발직군 채용,유한책임회사딜리버리히어로코리아,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37903964&location=ts&searchword=python&searchType=search&paid_fl=n
[강남본사] 각 부문 신입/경력직 채용,성원아이북랜드,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37876599&location=ts&searchword=python&searchType=search&paid_fl=n
Cloud SaaS 솔루션/서비스기획 경력 5년 이상,에스넷시스템(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37819669&location=ts&searchword=python&searchType=search&paid_fl=n
웹/앱 서비스 및 시스템 개발자 모집,(주)코리아센터,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37893313&location=ts&searchword=python&searchType=search&paid_fl=n
Recruiter 하고싶은 Tech직군 다 모여라! (개발/영업 직군 우대),쿠팡(주),서울 송파구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37842327&location=ts&searchword=python&searchType=search&paid_fl=n
"하나금융융합기술원 AI·Bigdata 석,박사 연구원(경력직) 채용",㈜하나금융티아이,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37868991&location=ts&searchword=python&searchType=search&paid_fl=n
[메가존클라우드] 2020년 상반기 Commercial Tech 부문 채용,메가존(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37749738&location=ts&searchword=python&searchType=search&paid_fl=n
[메가존클라우드] 2020년 상반기 Tech 부문 채용,메가존(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37746728&location=ts&searchword=python&searchType=search&paid_fl=n
이노뎁(주) 기술연구그룹 부문별 채용,이노뎁(주),서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37858967&location=ts&searchword=python&searchType=search&paid_fl=n
빅데이터 전문 기업 인재 채용,데이터스트림즈 ㈜,경기 성남시 분당구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37883582&location=ts&searchword=python&searchType=search&paid_fl=n
[캐치잇플레이] Web Engineer 경력사원 채용 (서울 오피스),(주)캐치잇플레이,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37866726&location=ts&searchword=python&searchType=search&paid_fl=n
[메가존] 2020년 상반기 구글클라우드 직무별 채용,메가존(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37756210&location=ts&searchword=python&searchType=search&paid_fl=n
"[국비지원] 빅데이터분석, 지능형웹, 스마트컨텐츠UI/UX, 프론트엔트 무료취업교육",한국직업전문학교,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37859901&location=ts&searchword=python&searchType=search&paid_fl=n
[(주)마음의숲] 영업팀/개발팀 채용 공고,(주)마음의숲,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37886094&location=ts&searchword=python&searchType=search&paid_fl=n
[컴트루테크놀로지]2020년 각 부문 신입/경력 공채,㈜컴트루테크놀로지,서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37877396&location=ts&searchword=python&searchType=search&paid_fl=n
[리치앤코] 개발/기획 부문별 경력직 채용,(주)리치앤코,서울 중구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37874400&location=ts&searchword=python&searchType=search&paid_fl=n
[바이오/시스템/소프트웨어/마케팅] 분야별 정규직원 채용,(주)싸이토젠,서울 송파구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37859713&location=ts&searchword=python&searchType=search&paid_fl=n
2020년도 지니언스㈜ 각 부문별 모집,지니언스,경기 안양시,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37857828&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 상반기 각 부문 공개채용,더이앤엠(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37909382&location=ts&searchword=python&searchType=search&paid_fl=n
빗썸 IT 전문인력 채용,(주)빗썸코리아,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37814015&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 경력사원 모집(Web Front End 개발),주식회사 구하다,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37895555&location=ts&searchword=python&searchType=search&paid_fl=n
프로그래머 부분 모집(백엔드개발자),(주)로아인텔리전스,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37902236&location=ts&searchword=python&searchType=search&paid_fl=n
[데일리호텔] 각부문 신입 및 경력사원 모집,(주)데일리,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37865460&location=ts&searchword=python&searchType=search&paid_fl=n
"2020년 IBK시스템 경력직원 모집 (개발/품질관리/IT인프라,서버운영/상황실/경영기획)",(주)아이비케이시스템,서울 중구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37908794&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 각 부문 신입/경력사원 채용,(주)메디트,서울 성북구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37763139&location=ts&searchword=python&searchType=search&paid_fl=n
[프렌즈게임즈] 개발/디자인직군 영입,㈜카카오게임즈,경기전체,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37894260&location=ts&searchword=python&searchType=search&paid_fl=n
wavve 기술본부 다수 채용 (원격/재택근무 가능),콘텐츠웨이브(주),서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37904379&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 연구개발분야 개발자 각 부문 채용,(주)디노밴네트웍스,서울 송파구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37885191&location=ts&searchword=python&searchType=search&paid_fl=n
[본사] IT팀 경력사원 모집,케이에스신용정보(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37869230&location=ts&searchword=python&searchType=search&paid_fl=n
(주)오토위니 부문별 신입/경력사원 채용,(주)오토위니,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37878858&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 개발자/경영지원 모집 공고,(주)심시스글로벌,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37891601&location=ts&searchword=python&searchType=search&paid_fl=n
2020년 엠아이큐브솔루션 경력직 채용,엠아이큐브솔루션㈜,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37902816&location=ts&searchword=python&searchType=search&paid_fl=n
[ST Unitas] 개발자 및 연구원 신입/경력 (상시채용),(주)에스티유니타스,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37828690&location=ts&searchword=python&searchType=search&paid_fl=n
(전액무료) 자바프레임워크 기반 응용SW개발자 취업연계과정,지스펙(주),서울전체,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37902978&location=ts&searchword=python&searchType=search&paid_fl=n
[국비/노동부지원100%무료IT취업과정]JAVA/자바개발자 취업과정,(주)한국소프트웨어아이엔씨,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37843462&location=ts&searchword=python&searchType=search&paid_fl=n
[정규직] 신입/경력 개발자 채용,OPENMATE,서울 서대문구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37860172&location=ts&searchword=python&searchType=search&paid_fl=n
"데이터 마이닝, 전처리, 분석 신입 및 경력자",(주)빌트온,서울 중구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37844113&location=ts&searchword=python&searchType=search&paid_fl=n
당사 개발사업본부 ( 기술개발 & 솔루션개발 ) 담당자 모집 ITk9,㈜트랜스코스모스코리아,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37855342&location=ts&searchword=python&searchType=search&paid_fl=n
㈜아이스크림에듀 AI연구실 프리랜서 채용,(주)아이스크림에듀,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37878623&location=ts&searchword=python&searchType=search&paid_fl=n
[코스닥상장사]  AI 클라우드 프론트/백엔드 개발자 ( 웹/모바일,㈜아이티엑스엠투엠,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37891807&location=ts&searchword=python&searchType=search&paid_fl=n
[국비취업연수] 일본 정규직 취업 호텔 프론트/IT 개발자 항공료지원 국비 연수 과정,글로벌인,일본 일본,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37909347&location=ts&searchword=python&searchType=search&paid_fl=n
"웹개발자, 웹기획자, 웹디자이너, 웹퍼블리셔 공개채용",(주)에스아이알소프트,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37837854&location=ts&searchword=python&searchType=search&paid_fl=n
[신입/경력] IT개발자 부문별 채용공고,㈜해커스교육그룹,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37498334&location=ts&searchword=python&searchType=search&paid_fl=n
㈜씨에이에스 소프트웨어 엔지니어 신입/경력 모집,㈜씨에이에스,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37820463&location=ts&searchword=python&searchType=search&paid_fl=n
"[XGOLF] 웹·앱 디자이너/개발, 골프투어팀 채용",㈜그린웍스,서울 성동구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37895930&location=ts&searchword=python&searchType=search&paid_fl=n
[Web 개발] 부문 신입/경력 채용,(주)파인디지털,경기 성남시 분당구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37899100&location=ts&searchword=python&searchType=search&paid_fl=n
[솔루션개발팀] 웹기획자 / JAVA웹개발자 채용,(주)캐럿글로벌,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37878929&location=ts&searchword=python&searchType=search&paid_fl=n
마케팅 기획 및 운영 / 프론트&서버백엔드 개발자 채용,(주)에브리치,서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37852210&location=ts&searchword=python&searchType=search&paid_fl=n
웹개발 경력 정규직 채용,(주)메디플러스솔루션,서울 성북구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37840881&location=ts&searchword=python&searchType=search&paid_fl=n
시대인재 온라인 사업부 신입 및 경력 사원 채용,(주)하이컨시,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37755031&location=ts&searchword=python&searchType=search&paid_fl=n
"웹/앱개발, 응용프로그램개발外 정규직 채용 - 신입&경력",쉬폰코퍼레이션코리아(주),서울 용산구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37885870&location=ts&searchword=python&searchType=search&paid_fl=n
각 부문별 신입/경력직 채용공고,(주)엠그램,서울 영등포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37613720&location=ts&searchword=python&searchType=search&paid_fl=n
[2020년] E-COMMERCE팀 채용(개발자/웹퍼블리셔),㈜리얼타임트래블솔루션,서울 중구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37895963&location=ts&searchword=python&searchType=search&paid_fl=n
강남엄마 각 부문 신입/경력사원 채용,주식회사 강남엄마,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37866443&location=ts&searchword=python&searchType=search&paid_fl=n
티릴리에서 Back-end / Front-end  개발자를 모십니다,(주)티릴리,서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37911063&location=ts&searchword=python&searchType=search&paid_fl=n
넥스트코어와 같이 성장할 Web 프로그램 인재분들을 모십니다,(주)넥스트코어테크놀로지,서울 송파구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37807559&location=ts&searchword=python&searchType=search&paid_fl=n
(경력무관) 웹개발 정규직 모집,크레파스솔루션(주),서울 영등포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37671459&location=ts&searchword=python&searchType=search&paid_fl=n
각 부문별 경력사원 모집,㈜티제이팜,서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37828996&location=ts&searchword=python&searchType=search&paid_fl=n
[메가존클라우드] 2020년 상반기 Cloud MSP 부문 채용,메가존(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37747751&location=ts&searchword=python&searchType=search&paid_fl=n
(주)다비오 백엔드(Back-end) 개발자 채용,(주)다비오,서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37797932&location=ts&searchword=python&searchType=search&paid_fl=n
기술연구소 R&D 사업 기획 관리 / 수행 엔지니어 모집,위즈코어주식회사,서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37845969&location=ts&searchword=python&searchType=search&paid_fl=n
[(주)트리플렛] AI/IoT 연구 개발자 채용,(주)트리플렛,서울 마포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37812615&location=ts&searchword=python&searchType=search&paid_fl=n
[메가존클라우드] 2020년 상반기 Enterprise Tech 부문 채용,메가존(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37748077&location=ts&searchword=python&searchType=search&paid_fl=n
[여기어때] Infrastructure Engineer (Jr./Sr.) 채용,(주)위드이노베이션,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37625675&location=ts&searchword=python&searchType=search&paid_fl=n
[바이애틱] IT 개발 직군 채용,(주)바이애틱,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37872051&location=ts&searchword=python&searchType=search&paid_fl=n
AI플랫폼 머신러닝 / 딥러닝 엔지니어,"(주)에이젠글로벌(aiZENGlobalCo.,Inc.)",서울 영등포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37814561&location=ts&searchword=python&searchType=search&paid_fl=n
"소프트웨어 개발자 신규/경력모집(프론트엔드, 머신러닝/딥러닝)",(주)헤리바이오,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37840512&location=ts&searchword=python&searchType=search&paid_fl=n
(주)웅진씽크빅 데이터 플랫폼 개발자 모집,(주)웅진씽크빅,서울 종로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37879438&location=ts&searchword=python&searchType=search&paid_fl=n
인공지능(AI)·빅데이터(빅데이터 외 4개 부문) 개발자 모집,디노플러스(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37755264&location=ts&searchword=python&searchType=search&paid_fl=n
(주)카비 상반기 연구소 인재 채용 (전문연구요원 지원가능),(주)카비,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37844543&location=ts&searchword=python&searchType=search&paid_fl=n
"웹개발(Front/Back), 데이터분석 정규직 채용",스마트마인드(주),서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37808163&location=ts&searchword=python&searchType=search&paid_fl=n
웹개발자(프론트엔드) 채용,(주)헤르스,서울 광진구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37868457&location=ts&searchword=python&searchType=search&paid_fl=n
